Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
35,96372106,2,10637330,1,60,3.8343944549560547,0.8465664386749268,406,580,174,406,406,406,0,406,0.5,min,Min Best Case,False,406,589
36,96372106,2,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
37,96372106,2,10637332,1,60,0.006567716598510742,0.10383844375610352,209,295,86,209,209,210,1,209,0.5,min,Min Best Case,False,209,295
38,96372106,2,10637333,1,60,0.037874698638916016,0.9452390670776367,472,672,200,472,472,473,1,472,0.5,min,Min Best Case,False,472,672
39,96372106,2,10637334,1,60,0.10815119743347168,0.29904675483703613,314,439,125,314,314,314,0,314,0.5,min,Min Best Case,False,314,436
40,96372106,2,10637335,1,60,0.010140657424926758,0.26740026473999023,320,452,132,320,320,321,1,320,0.5,min,Min Best Case,False,320,452
41,96372106,2,10637336,1,60,0.00828409194946289,0.15854716300964355,263,355,92,263,263,265,2,263,0.5,min,Min Best Case,False,263,355
42,96372106,2,10637337,1,60,0.0055620670318603516,0.09583449363708496,172,254,82,172,172,172,0,172,0.5,min,Min Best Case,False,172,254
43,96372106,2,10637338,1,60,0.018308401107788086,0.6254222393035889,310,440,130,310,310,311,1,310,0.5,min,Min Best Case,False,310,440
44,96372106,2,10637339,1,60,0.3331937789916992,0.2667808532714844,290,401,111,290,290,290,0,290,0.5,min,Min Best Case,False,290,403
45,96372106,2,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
46,96372106,2,10637341,1,60,0.007565975189208984,0.20214414596557617,217,312,95,217,217,219,2,217,0.5,min,Min Best Case,False,217,312
47,96372106,2,10637342,1,60,32.20848345756531,1.0645420551300049,431,613,182,431,431,431,0,431,0.5,min,Min Best Case,False,430,625
48,96372106,2,10637343,1,60,0.007983684539794922,0.15182781219482422,212,304,92,212,212,212,0,212,0.5,min,Min Best Case,False,212,304
49,96372106,2,10637344,1,60,0.007390022277832031,0.1382288932800293,233,326,93,233,233,236,3,233,0.5,min,Min Best Case,False,233,326
50,96372106,2,10637345,1,60,0.03307485580444336,0.675286054611206,407,582,175,407,407,407,0,407,0.5,min,Min Best Case,False,407,582
