Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
34,96372106,2,10637329,1,60,0.024344921112060547,4.604328870773315,425,606,181,520,520,520,0,520,1.0,uniform,Min Worst Case,True,425,606
35,96372106,2,10637330,1,60,6.455458879470825,20.590949773788452,407,581,174,496,498,498,0,498,1.0,uniform,Min Worst Case,True,406,589
36,96372106,2,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
37,96372106,2,10637332,1,60,0.006477832794189453,0.42165446281433105,209,295,86,258,258,258,0,258,1.0,uniform,Min Worst Case,True,209,295
38,96372106,2,10637333,1,60,0.021229982376098633,4.708804368972778,472,672,200,567,567,567,0,567,1.0,uniform,Min Worst Case,True,472,672
39,96372106,2,10637334,1,60,0.14063453674316406,1.9583892822265625,314,437,123,379,379,379,0,379,1.0,uniform,Min Worst Case,True,314,436
40,96372106,2,10637335,1,60,0.010290384292602539,1.1809027194976807,320,452,132,381,381,381,0,381,1.0,uniform,Min Worst Case,True,320,452
41,96372106,2,10637336,1,60,0.008226156234741211,0.7261409759521484,263,355,92,305,305,305,0,305,1.0,uniform,Min Worst Case,True,263,355
42,96372106,2,10637337,1,60,0.005353689193725586,0.2964634895324707,172,254,82,219,219,219,0,219,1.0,uniform,Min Worst Case,True,172,254
43,96372106,2,10637338,1,60,0.017755508422851562,2.4425036907196045,310,440,130,377,377,377,0,377,1.0,uniform,Min Worst Case,True,310,440
44,96372106,2,10637339,1,60,0.283858060836792,2.5756278038024902,291,401,110,344,345,345,0,345,1.0,uniform,Min Worst Case,True,290,403
45,96372106,2,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
46,96372106,2,10637341,1,60,0.007475852966308594,0.5125958919525146,217,312,95,258,258,258,0,258,1.0,uniform,Min Worst Case,True,217,312
47,96372106,2,10637342,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
48,96372106,2,10637343,1,60,0.007382869720458984,0.5516312122344971,212,304,92,253,253,253,0,253,1.0,uniform,Min Worst Case,True,212,304
49,96372106,2,10637344,1,60,0.007249355316162109,0.5334079265594482,233,326,93,280,280,280,0,280,1.0,uniform,Min Worst Case,True,233,326
50,96372106,2,10637345,1,60,0.016509532928466797,2.829165458679199,407,582,175,494,494,494,0,494,1.0,uniform,Min Worst Case,True,407,582
