Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
31,96372106,2,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
32,96372106,2,10637327,2,60,0.07480120658874512,6.74193263053894,473,843,370,843,841,843,2,843,0.5,uniform,True
33,96372106,2,10637328,2,60,0.058843135833740234,1.9417815208435059,360,628,268,628,627,628,1,628,0.5,uniform,True
34,96372106,2,10637329,2,60,0.12765860557556152,5.772591829299927,470,835,365,835,830,835,5,835,0.5,uniform,True
35,96372106,2,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
36,96372106,2,10637331,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
37,96372106,2,10637332,2,60,0.019945859909057617,0.4677743911743164,235,420,185,420,417,420,3,420,0.5,uniform,True
38,96372106,2,10637333,2,60,0.07779169082641602,4.8649818897247314,533,951,418,951,948,951,3,951,0.5,uniform,True
39,96372106,2,10637334,2,60,1.1509034633636475,2.0814578533172607,366,611,245,611,610,611,1,611,0.5,uniform,True
40,96372106,2,10637335,2,60,0.03889584541320801,1.3234810829162598,355,637,282,637,631,637,6,637,0.5,uniform,True
41,96372106,2,10637336,2,60,0.020943880081176758,0.8367507457733154,295,506,211,506,504,506,2,506,0.5,uniform,True
42,96372106,2,10637337,2,60,0.014959573745727539,0.30222344398498535,199,348,149,348,348,348,0,348,0.5,uniform,True
43,96372106,2,10637338,2,60,0.0469050407409668,2.390641212463379,344,597,253,597,597,597,0,597,0.5,uniform,True
44,96372106,2,10637339,2,60,71.40595746040344,2.060487747192383,341,549,208,549,555,555,0,555,0.5,uniform,True
45,96372106,2,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
46,96372106,2,10637341,2,60,0.018948793411254883,0.6063754558563232,243,410,167,410,410,410,0,410,0.5,uniform,True
47,96372106,2,10637342,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
48,96372106,2,10637343,2,60,0.01694178581237793,0.8676760196685791,243,406,163,406,406,406,0,406,0.5,uniform,True
49,96372106,2,10637344,2,60,0.01798868179321289,0.5475361347198486,268,453,185,453,449,453,4,453,0.5,uniform,True
50,96372106,2,10637345,2,60,0.05781745910644531,3.9414515495300293,459,810,351,810,809,810,1,810,0.5,uniform,True
