Algorithm,Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,Runtime (secs),Success,Min SOC,Max SOC,CT Nodes,ODA* Nodes
CBS,Open Map,12345678,0,10,534985049,0.012947321,1,62,62,5,-
ODA*,Open Map,12345678,0,10,534985049,0.902554512,1,62,62,-,934
CBS,Open Map,12345678,0,10,223927024,0.062927961,1,63,63,18,-
ODA*,Open Map,12345678,0,10,223927024,-1,0,-,-,-,-1
CBS,Open Map,12345678,0,10,1796491576,0.007979155,1,50,50,6,-
ODA*,Open Map,12345678,0,10,1796491576,1.015347242,1,50,50,-,1139
CBS,Open Map,12345678,0,10,389616105,0.017893314,1,51,51,13,-
ODA*,Open Map,12345678,0,10,389616105,0.501659632,1,51,51,-,507
CBS,Open Map,12345678,0,10,2022712331,0.020964622,1,58,58,8,-
ODA*,Open Map,12345678,0,10,2022712331,0.875698328,1,58,58,-,904
CBS,Open Map,12345678,0,10,9931728,0.003996372,1,57,57,3,-
ODA*,Open Map,12345678,0,10,9931728,0.092820883,1,57,57,-,99
CBS,Open Map,12345678,0,10,1320039528,0.008976221,1,51,51,5,-
ODA*,Open Map,12345678,0,10,1320039528,0.112957001,1,51,51,-,121
CBS,Open Map,12345678,0,10,213848789,0.112834215,1,53,53,63,-
ODA*,Open Map,12345678,0,10,213848789,-1,0,-,-,-,-1
CBS,Open Map,12345678,0,10,310946989,0.179183483,1,38,38,136,-
ODA*,Open Map,12345678,0,10,310946989,28.77089548,1,38,38,-,27957
CBS,Open Map,12345678,0,10,311770526,0.003990173,1,50,50,2,-
ODA*,Open Map,12345678,0,10,311770526,0.08978343,1,50,50,-,92
CBS,Open Map,12345678,0,10,1567882499,0.005984068,1,46,46,4,-
ODA*,Open Map,12345678,0,10,1567882499,0.122622967,1,46,46,-,106
CBS,Open Map,12345678,0,10,1679843594,0.011966705,1,58,58,6,-
ODA*,Open Map,12345678,0,10,1679843594,0.220410585,1,58,58,-,186
CBS,Corridor Map,12345678, 1,10, 8601543762197903448,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 8601543762197903448, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 7523166681800912556,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 7523166681800912556, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 1192202808140153077,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 1192202808140153077, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 6828876226029593375,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 6828876226029593375, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 2993469228926178233,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 2993469228926178233, -1,0,-,-,-,-
