Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
27,96372106,7,10637322,0,60,0.07270050048828125,0.11526966094970703,46,46,0,46,46,46,0,46,0.25,uniform,False
28,96372106,7,10637323,0,60,0.038202762603759766,0.04668378829956055,45,45,0,45,45,45,0,45,0.25,uniform,False
29,96372106,7,10637324,0,60,0.034871578216552734,0.07882809638977051,33,33,0,33,33,33,0,33,0.25,uniform,False
30,96372106,7,10637325,0,60,0.022807836532592773,0.03984403610229492,34,34,0,34,34,34,0,34,0.25,uniform,False
31,96372106,7,10637326,0,60,0.04060530662536621,0.03321504592895508,47,47,0,47,47,47,0,47,0.25,uniform,False
32,96372106,7,10637327,0,60,0.01809215545654297,0.02494192123413086,36,36,0,36,36,36,0,36,0.25,uniform,False
33,96372106,7,10637328,0,60,0.20793747901916504,0.13689088821411133,47,47,0,47,47,47,0,47,0.25,uniform,False
34,96372106,7,10637329,0,60,0.07539486885070801,0.13329720497131348,47,47,0,47,42,42,0,42,0.25,uniform,False
35,96372106,7,10637330,0,60,0.06027841567993164,0.05796551704406738,42,42,0,42,41,41,0,41,0.25,uniform,False
36,96372106,7,10637331,0,60,0.0207364559173584,0.022414684295654297,31,31,0,31,31,31,0,31,0.25,uniform,False
37,96372106,7,10637332,0,60,0.0215604305267334,0.021245479583740234,31,31,0,31,31,31,0,31,0.25,uniform,False
38,96372106,7,10637333,0,60,0.01476430892944336,0.012456178665161133,31,31,0,31,31,31,0,31,0.25,uniform,False
39,96372106,7,10637334,0,60,0.016069889068603516,0.015281200408935547,40,40,0,40,40,40,0,40,0.25,uniform,False
40,96372106,7,10637335,0,60,0.008987903594970703,0.04527139663696289,30,30,0,30,30,30,0,30,0.25,uniform,False
41,96372106,7,10637336,0,60,0.028094053268432617,0.0391085147857666,55,55,0,55,55,55,0,55,0.25,uniform,False
42,96372106,7,10637337,0,60,0.02586197853088379,0.013347387313842773,28,28,0,28,28,28,0,28,0.25,uniform,False
43,96372106,7,10637338,0,60,0.03697037696838379,0.07338190078735352,41,41,0,41,41,41,0,41,0.25,uniform,False
44,96372106,7,10637339,0,60,0.035253286361694336,0.07489204406738281,44,44,0,44,44,44,0,44,0.25,uniform,False
45,96372106,7,10637340,0,60,0.025430917739868164,0.029975175857543945,34,34,0,34,34,34,0,34,0.25,uniform,False
46,96372106,7,10637341,0,60,0.007557868957519531,0.03209829330444336,39,39,0,39,39,39,0,39,0.25,uniform,False
47,96372106,7,10637342,0,60,0.02825760841369629,0.038275957107543945,36,36,0,36,36,36,0,36,0.25,uniform,False
48,96372106,7,10637343,0,60,0.025479793548583984,0.018954038619995117,30,30,0,30,30,30,0,30,0.25,uniform,False
49,96372106,7,10637344,0,60,0.11712956428527832,0.02588820457458496,37,37,0,37,37,37,0,37,0.25,uniform,False
50,96372106,7,10637345,0,60,0.0242002010345459,0.05227398872375488,50,50,0,50,50,50,0,50,0.25,uniform,False
