Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
33,96372106,4,10637328,1,60,0.004967451095581055,0.06245589256286621,127,166,39,152,151,153,2,152,0.5,uniform,Min Worst Case,False
34,96372106,4,10637329,1,60,0.010977029800415039,0.012967348098754883,87,105,18,95,95,95,0,95,0.5,uniform,Min Worst Case,False
35,96372106,4,10637330,1,60,0.86934494972229,0.03642749786376953,116,144,28,129,129,130,1,129,0.5,uniform,Min Worst Case,False
36,96372106,4,10637331,1,60,0.0035402774810791016,0.026323556900024414,109,137,28,125,125,125,0,125,0.5,uniform,Min Worst Case,False
37,96372106,4,10637332,1,60,0.005035877227783203,0.03097224235534668,121,154,33,137,137,137,0,137,0.5,uniform,Min Worst Case,False
38,96372106,4,10637333,1,60,0.00399017333984375,0.020953655242919922,106,137,31,122,122,122,0,122,0.5,uniform,Min Worst Case,False
39,96372106,4,10637334,1,60,0.10434150695800781,0.057908058166503906,190,238,48,211,211,211,0,211,0.5,uniform,Min Worst Case,False
40,96372106,4,10637335,1,60,1.3073928356170654,0.05088448524475098,158,200,42,179,176,180,4,179,0.5,uniform,Min Worst Case,False
41,96372106,4,10637336,1,60,0.006073951721191406,0.06774330139160156,164,207,43,185,185,185,0,185,0.5,uniform,Min Worst Case,False
42,96372106,4,10637337,1,60,0.005932807922363281,0.03014850616455078,115,154,39,137,136,138,2,137,0.5,uniform,Min Worst Case,False
43,96372106,4,10637338,1,60,0.006059885025024414,0.04596590995788574,126,163,37,149,149,149,0,149,0.5,uniform,Min Worst Case,False
44,96372106,4,10637339,1,60,0.008301258087158203,0.07106399536132812,186,240,54,216,214,216,2,216,0.5,uniform,Min Worst Case,False
45,96372106,4,10637340,1,60,0.00537109375,0.029753684997558594,88,107,19,96,95,98,3,96,0.5,uniform,Min Worst Case,False
46,96372106,4,10637341,1,60,1.3680534362792969,0.13003015518188477,232,289,57,264,263,264,1,264,0.5,uniform,Min Worst Case,False
47,96372106,4,10637342,1,60,0.004014492034912109,0.02804255485534668,139,178,39,152,152,152,0,152,0.5,uniform,Min Worst Case,False
48,96372106,4,10637343,1,60,0.07946968078613281,0.035350799560546875,112,139,27,126,124,128,4,126,0.5,uniform,Min Worst Case,False
49,96372106,4,10637344,1,60,0.007086038589477539,0.07280349731445312,135,177,42,155,153,156,3,155,0.5,uniform,Min Worst Case,False
50,96372106,4,10637345,1,60,0.02388453483581543,0.05305027961730957,169,211,42,197,196,197,1,197,0.5,uniform,Min Worst Case,False
