Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
37,96372106,5,10637332,1,60,0.006180286407470703,0.0016684532165527344,27,39,12,32,27,39,12,32,0.0,uniform,Min Worst Case,True
38,96372106,5,10637333,1,60,0.04297232627868652,0.0017881393432617188,34,43,9,38,34,43,9,38,0.0,uniform,Min Worst Case,True
39,96372106,5,10637334,1,60,0.0034248828887939453,0.001608133316040039,31,45,14,39,31,45,14,39,0.0,uniform,Min Worst Case,True
40,96372106,5,10637335,1,60,0.0008091926574707031,0.0010941028594970703,14,16,2,15,14,16,2,15,0.0,uniform,Min Worst Case,True
41,96372106,5,10637336,1,60,0.019197463989257812,0.002515554428100586,45,57,12,52,45,57,12,52,0.0,uniform,Min Worst Case,True
42,96372106,5,10637337,1,60,0.004876375198364258,0.0015769004821777344,28,39,11,30,28,39,11,30,0.0,uniform,Min Worst Case,True
43,96372106,5,10637338,1,60,0.012291908264160156,0.0022573471069335938,34,48,14,39,34,48,14,39,0.0,uniform,Min Worst Case,True
44,96372106,5,10637339,1,60,0.05259346961975098,0.0020325183868408203,33,41,8,38,33,41,8,38,0.0,uniform,Min Worst Case,True
45,96372106,5,10637340,1,60,0.0027360916137695312,0.002117156982421875,29,41,12,34,29,41,12,34,0.0,uniform,Min Worst Case,True
46,96372106,5,10637341,1,60,0.0014624595642089844,0.0015521049499511719,24,34,10,30,24,34,10,30,0.0,uniform,Min Worst Case,True
47,96372106,5,10637342,1,60,0.009906291961669922,0.0034072399139404297,29,36,7,34,29,36,7,34,0.0,uniform,Min Worst Case,True
48,96372106,5,10637343,1,60,0.0024166107177734375,0.0016071796417236328,27,36,9,33,27,36,9,33,0.0,uniform,Min Worst Case,True
49,96372106,5,10637344,1,60,0.005112171173095703,0.0018279552459716797,29,41,12,38,29,41,12,38,0.0,uniform,Min Worst Case,True
50,96372106,5,10637345,1,60,0.027017831802368164,0.0023508071899414062,44,58,14,52,44,58,14,52,0.0,uniform,Min Worst Case,True
