Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
21,96372106,9,10637316,0,60,0.24007821083068848,0.02305769920349121,313,313,0,313,313,313,0,313,1.0,uniform,Min Best Case,False
22,96372106,9,10637317,0,60,0.023935317993164062,0.01988983154296875,273,273,0,273,273,273,0,273,1.0,uniform,Min Best Case,False
23,96372106,9,10637318,0,60,0.014960050582885742,0.015933513641357422,190,190,0,190,190,190,0,190,1.0,uniform,Min Best Case,False
24,96372106,9,10637319,0,60,0.0139617919921875,0.014480352401733398,218,218,0,218,218,218,0,218,1.0,uniform,Min Best Case,False
25,96372106,9,10637320,0,60,0.02190399169921875,0.018943071365356445,305,305,0,305,305,305,0,305,1.0,uniform,Min Best Case,False
26,96372106,9,10637321,0,60,0.09371662139892578,0.014960050582885742,260,260,0,260,260,260,0,260,1.0,uniform,Min Best Case,False
27,96372106,9,10637322,0,60,0.11866593360900879,0.018007278442382812,215,215,0,215,215,215,0,215,1.0,uniform,Min Best Case,False
28,96372106,9,10637323,0,60,0.019945621490478516,0.018949031829833984,288,288,0,288,288,288,0,288,1.0,uniform,Min Best Case,False
29,96372106,9,10637324,0,60,3.444078207015991,0.015987396240234375,272,272,0,272,272,272,0,272,1.0,uniform,Min Best Case,False
30,96372106,9,10637325,0,60,0.37711238861083984,0.02094244956970215,298,298,0,298,298,298,0,298,1.0,uniform,Min Best Case,False
31,96372106,9,10637326,0,60,0.018965482711791992,0.018947362899780273,232,232,0,232,232,232,0,232,1.0,uniform,Min Best Case,False
32,96372106,9,10637327,0,60,0.0608370304107666,0.026927947998046875,289,289,0,289,289,289,0,289,1.0,uniform,Min Best Case,False
33,96372106,9,10637328,0,60,0.015957117080688477,0.015954017639160156,234,234,0,234,234,234,0,234,1.0,uniform,Min Best Case,False
34,96372106,9,10637329,0,60,0.16047382354736328,0.015957117080688477,253,253,0,253,253,253,0,253,1.0,uniform,Min Best Case,False
35,96372106,9,10637330,0,60,0.030879735946655273,0.01495981216430664,168,168,0,168,168,168,0,168,1.0,uniform,Min Best Case,False
36,96372106,9,10637331,0,60,0.03590106964111328,0.026091814041137695,230,230,0,230,230,230,0,230,1.0,uniform,Min Best Case,False
37,96372106,9,10637332,0,60,0.018913745880126953,0.01995396614074707,278,278,0,278,278,278,0,278,1.0,uniform,Min Best Case,False
38,96372106,9,10637333,0,60,0.0499415397644043,0.018949031829833984,244,244,0,244,244,244,0,244,1.0,uniform,Min Best Case,False
39,96372106,9,10637334,0,60,0.034384965896606445,0.02886343002319336,299,299,0,299,299,299,0,299,1.0,uniform,Min Best Case,False
40,96372106,9,10637335,0,60,0.2084641456604004,0.016967058181762695,262,262,0,262,262,262,0,262,1.0,uniform,Min Best Case,False
41,96372106,9,10637336,0,60,0.011913299560546875,0.01795196533203125,253,253,0,253,253,253,0,253,1.0,uniform,Min Best Case,False
42,96372106,9,10637337,0,60,0.08495163917541504,0.019946575164794922,227,227,0,227,227,227,0,227,1.0,uniform,Min Best Case,False
43,96372106,9,10637338,0,60,0.024936676025390625,0.019946813583374023,295,295,0,295,295,295,0,295,1.0,uniform,Min Best Case,False
44,96372106,9,10637339,0,60,0.21762371063232422,0.021940946578979492,337,337,0,337,337,337,0,337,1.0,uniform,Min Best Case,False
45,96372106,9,10637340,0,60,0.032938241958618164,0.028922319412231445,278,278,0,278,278,278,0,278,1.0,uniform,Min Best Case,False
46,96372106,9,10637341,0,60,0.15802359580993652,0.021934986114501953,379,379,0,379,379,379,0,379,1.0,uniform,Min Best Case,False
47,96372106,9,10637342,0,60,0.057845354080200195,0.014954805374145508,260,260,0,260,260,260,0,260,1.0,uniform,Min Best Case,False
48,96372106,9,10637343,0,60,0.02500152587890625,0.016954660415649414,206,206,0,206,206,206,0,206,1.0,uniform,Min Best Case,False
49,96372106,9,10637344,0,60,0.027959823608398438,0.018949508666992188,195,195,0,195,195,195,0,195,1.0,uniform,Min Best Case,False
50,96372106,9,10637345,0,60,0.018924474716186523,0.034906625747680664,337,337,0,337,337,337,0,337,1.0,uniform,Min Best Case,False
