Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC
Open Map,96372106,0,10,10637320,False,0.0,0.0048291683197021484,0.0026290416717529297,1,49,49,0,49,49,49,0,min,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637321,False,0.0,0.022243738174438477,0.0026886463165283203,1,52,52,0,52,52,52,0,min,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637322,False,0.0,0.0433497428894043,0.003010988235473633,1,58,58,0,58,58,58,0,min,58,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637323,False,0.0,54.16408371925354,0.0038881301879882812,1,67,67,0,67,67,67,0,min,67,Min Best Case,No Change,0,65,65
Open Map,96372106,0,10,10637324,False,0.0,0.007693290710449219,0.0026831626892089844,1,45,45,0,45,45,45,0,min,45,Min Best Case,No Change,0,44,44
Open Map,96372106,0,10,10637325,False,0.0,0.06921029090881348,0.002723217010498047,1,49,49,0,49,49,49,0,min,49,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637326,False,0.0,0.027276039123535156,0.0030181407928466797,1,57,57,0,57,57,57,0,min,57,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637327,False,0.0,0.002348661422729492,0.0022287368774414062,1,51,51,0,51,51,51,0,min,51,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637328,False,0.0,2.091289758682251,0.002693653106689453,1,54,54,0,54,54,54,0,min,54,Min Best Case,No Change,0,52,52
Open Map,96372106,0,10,10637329,False,0.0,0.008891105651855469,0.0029036998748779297,1,55,55,0,55,55,55,0,min,55,Min Best Case,No Change,0,55,55
Open Map,96372106,0,10,10637330,False,0.0,0.0971982479095459,0.002854585647583008,1,63,63,0,63,63,63,0,min,63,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637331,False,0.0,0.008097171783447266,0.0024497509002685547,1,47,47,0,47,47,47,0,min,47,Min Best Case,No Change,0,47,47
Open Map,96372106,0,10,10637332,False,0.0,0.004456996917724609,0.0023136138916015625,1,44,44,0,44,44,44,0,min,44,Min Best Case,No Change,0,44,44
Open Map,96372106,0,10,10637333,False,0.0,0.004137754440307617,0.003113985061645508,1,53,53,0,53,53,53,0,min,53,Min Best Case,No Change,0,53,53
Open Map,96372106,0,10,10637334,False,0.0,0.01533961296081543,0.002661466598510742,1,59,59,0,59,59,59,0,min,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637335,False,0.0,0.0030465126037597656,0.0037794113159179688,1,48,48,0,48,48,48,0,min,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637336,False,0.0,0.010934114456176758,0.003487825393676758,1,72,72,0,72,72,72,0,min,72,Min Best Case,No Change,0,72,72
Open Map,96372106,0,10,10637337,False,0.0,0.007744312286376953,0.0030107498168945312,1,47,47,0,47,47,47,0,min,47,Min Best Case,No Change,0,47,47
Open Map,96372106,0,10,10637338,False,0.0,0.004098176956176758,0.0029675960540771484,1,59,59,0,59,59,59,0,min,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637339,False,0.0,0.02068638801574707,0.004213809967041016,1,67,67,0,67,67,67,0,min,67,Min Best Case,No Change,0,65,65
Open Map,96372106,0,10,10637340,False,0.0,0.098602294921875,0.002887248992919922,1,54,54,0,54,54,54,0,min,54,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637341,False,0.0,0.006619691848754883,0.0029418468475341797,1,50,50,0,50,50,50,0,min,50,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637342,False,0.0,2.2977688312530518,0.003773212432861328,1,57,57,0,57,57,57,0,min,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637343,False,0.0,0.006325483322143555,0.0027556419372558594,1,52,52,0,52,52,52,0,min,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637344,False,0.0,0.1291637420654297,0.002513408660888672,1,55,55,0,55,55,55,0,min,55,Min Best Case,No Change,0,54,54
Open Map,96372106,0,10,10637345,False,0.0,0.010699272155761719,0.0032012462615966797,1,66,66,0,66,66,66,0,min,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637296,False,0.0,0.027156352996826172,0.0030584335327148438,1,53,53,0,53,53,53,0,uniform,53,Min Best Case,No Change,0,53,53
Open Map,96372106,0,10,10637297,False,0.0,0.013514280319213867,0.003186941146850586,1,57,57,0,57,57,57,0,uniform,57,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637298,False,0.0,0.005269050598144531,0.0027091503143310547,1,57,57,0,57,57,57,0,uniform,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637299,False,0.0,0.005989789962768555,0.0026421546936035156,1,62,62,0,62,62,62,0,uniform,62,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637300,False,0.0,0.060393333435058594,0.0030379295349121094,1,66,66,0,66,66,66,0,uniform,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637301,False,0.0,0.01838970184326172,0.003284454345703125,1,48,48,0,48,48,48,0,uniform,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637302,False,0.0,0.008793830871582031,0.0033898353576660156,1,71,71,0,71,71,71,0,uniform,71,Min Best Case,No Change,0,71,71
Open Map,96372106,0,10,10637303,False,0.0,0.008780717849731445,0.0028154850006103516,1,50,50,0,50,50,50,0,uniform,50,Min Best Case,No Change,0,50,50
Open Map,96372106,0,10,10637304,False,0.0,0.00524592399597168,0.0025336742401123047,1,41,41,0,41,41,41,0,uniform,41,Min Best Case,No Change,0,41,41
Open Map,96372106,0,10,10637305,False,0.0,0.02837228775024414,0.0033044815063476562,1,59,59,0,59,59,59,0,uniform,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637306,False,0.0,0.018838167190551758,0.0033228397369384766,1,58,58,0,58,58,58,0,uniform,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637307,False,0.0,0.01666259765625,0.003484964370727539,1,57,57,0,57,57,57,0,uniform,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637308,False,0.0,0.011952638626098633,0.0027730464935302734,1,64,64,0,64,64,64,0,uniform,64,Min Best Case,No Change,0,64,64
Open Map,96372106,0,10,10637309,False,0.0,0.01853799819946289,0.0029077529907226562,1,60,60,0,60,60,60,0,uniform,60,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637310,False,0.0,0.020766019821166992,0.0038492679595947266,1,63,63,0,63,63,63,0,uniform,63,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637311,False,0.0,0.006704092025756836,0.00392603874206543,1,58,58,0,58,58,58,0,uniform,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637312,False,0.0,0.06692290306091309,0.0025293827056884766,1,46,46,0,46,46,46,0,uniform,46,Min Best Case,No Change,0,43,43
