Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
15,96372106,9,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
16,96372106,9,10637311,1,60,0.10371637344360352,0.014423131942749023,60,78,18,60,60,60,0,60,1.0,min,Min Best Case,False
17,96372106,9,10637312,1,60,0.281200647354126,0.01184701919555664,53,65,12,53,53,53,0,53,1.0,min,Min Best Case,False
18,96372106,9,10637313,1,60,0.7674000263214111,0.016378164291381836,66,82,16,66,66,66,0,66,1.0,min,Min Best Case,False
19,96372106,9,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
20,96372106,9,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
21,96372106,9,10637316,1,60,209.7686846256256,0.0174562931060791,66,93,27,66,66,66,0,66,1.0,min,Min Best Case,False
22,96372106,9,10637317,1,60,0.1415417194366455,0.015471458435058594,63,84,21,63,63,63,0,63,1.0,min,Min Best Case,False
23,96372106,9,10637318,1,60,0.19842839241027832,0.01129913330078125,49,66,17,49,49,49,0,49,1.0,min,Min Best Case,False
24,96372106,9,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
25,96372106,9,10637320,1,60,0.009940624237060547,0.009650468826293945,49,66,17,49,49,49,0,49,1.0,min,Min Best Case,False
26,96372106,9,10637321,1,60,0.7916321754455566,0.012019157409667969,54,74,20,54,54,54,0,54,1.0,min,Min Best Case,False
27,96372106,9,10637322,1,60,154.70748949050903,0.01842951774597168,62,78,16,62,62,62,0,62,1.0,min,Min Best Case,False
28,96372106,9,10637323,1,60,4.958407163619995,0.02067399024963379,65,88,23,65,65,65,0,65,1.0,min,Min Best Case,False
29,96372106,9,10637324,1,60,0.036171913146972656,0.009923219680786133,47,60,13,47,47,47,0,47,1.0,min,Min Best Case,False
30,96372106,9,10637325,1,60,7.788727760314941,0.013387918472290039,57,79,22,57,57,57,0,57,1.0,min,Min Best Case,False
31,96372106,9,10637326,1,60,23.644477128982544,0.01776576042175293,69,89,20,69,69,69,0,69,1.0,min,Min Best Case,False
32,96372106,9,10637327,1,60,0.018825531005859375,0.011381864547729492,49,69,20,49,49,49,0,49,1.0,min,Min Best Case,False
33,96372106,9,10637328,1,60,0.9638261795043945,0.01374506950378418,57,75,18,57,57,57,0,57,1.0,min,Min Best Case,False
34,96372106,9,10637329,1,60,2.8251805305480957,0.017261028289794922,60,86,26,60,60,60,0,60,1.0,min,Min Best Case,False
35,96372106,9,10637330,1,60,11.415143728256226,0.016994237899780273,64,87,23,64,64,64,0,64,1.0,min,Min Best Case,False
36,96372106,9,10637331,1,60,0.07620763778686523,0.01092982292175293,52,68,16,52,52,52,0,52,1.0,min,Min Best Case,False
37,96372106,9,10637332,1,60,0.019388675689697266,0.009064912796020508,42,57,15,42,42,42,0,42,1.0,min,Min Best Case,False
38,96372106,9,10637333,1,60,2.9879956245422363,0.01582503318786621,60,78,18,60,60,60,0,60,1.0,min,Min Best Case,False
39,96372106,9,10637334,1,60,0.09465193748474121,0.011714458465576172,58,84,26,58,58,58,0,58,1.0,min,Min Best Case,False
40,96372106,9,10637335,1,60,0.2322530746459961,0.01387476921081543,53,67,14,53,53,53,0,53,1.0,min,Min Best Case,False
41,96372106,9,10637336,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,Min Best Case,False
42,96372106,9,10637337,1,60,0.0065805912017822266,0.009253263473510742,44,62,18,44,44,44,0,44,1.0,min,Min Best Case,False
43,96372106,9,10637338,1,60,5.127559185028076,0.015409469604492188,56,73,17,56,56,56,0,56,1.0,min,Min Best Case,False
44,96372106,9,10637339,1,60,248.92218828201294,0.020625591278076172,70,93,23,70,70,70,0,70,1.0,min,Min Best Case,False
45,96372106,9,10637340,1,60,3.1988892555236816,0.013644218444824219,54,72,18,54,54,54,0,54,1.0,min,Min Best Case,False
46,96372106,9,10637341,1,60,0.03406500816345215,0.012441873550415039,51,70,19,51,51,51,0,51,1.0,min,Min Best Case,False
47,96372106,9,10637342,1,60,0.12258005142211914,0.012797117233276367,59,78,19,59,59,59,0,59,1.0,min,Min Best Case,False
48,96372106,9,10637343,1,60,0.061350345611572266,0.011847496032714844,49,66,17,49,49,49,0,49,1.0,min,Min Best Case,False
