Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
26,96372106,9,10637321,1,60,0.7916321754455566,0.09370946884155273,54,74,20,74,71,71,0,71,1.0,max,Min Best Case,True,49,71
27,96372106,9,10637322,1,60,154.70748949050903,0.49064087867736816,62,78,16,78,77,77,0,77,1.0,max,Min Best Case,True,53,77
28,96372106,9,10637323,1,60,4.958407163619995,0.8220760822296143,65,88,23,88,86,86,0,86,1.0,max,Min Best Case,True,60,86
29,96372106,9,10637324,1,60,0.036171913146972656,0.07536983489990234,47,60,13,60,62,62,0,62,1.0,max,Min Best Case,True,45,60
30,96372106,9,10637325,1,60,7.788727760314941,0.3166496753692627,57,79,22,79,79,79,0,79,1.0,max,Min Best Case,True,52,81
31,96372106,9,10637326,1,60,23.644477128982544,0.30977392196655273,69,89,20,89,88,88,0,88,1.0,max,Min Best Case,True,63,91
32,96372106,9,10637327,1,60,0.018825531005859375,0.037680625915527344,49,69,20,69,66,66,0,66,1.0,max,Min Best Case,True,46,69
33,96372106,9,10637328,1,60,0.9638261795043945,0.22223663330078125,57,75,18,75,75,75,0,75,1.0,max,Min Best Case,True,53,80
34,96372106,9,10637329,1,60,2.8251805305480957,0.06795191764831543,60,86,26,86,80,80,0,80,1.0,max,Min Best Case,True,55,87
35,96372106,9,10637330,1,60,11.415143728256226,0.27780842781066895,64,87,23,87,83,83,0,83,1.0,max,Min Best Case,True,59,85
36,96372106,9,10637331,1,60,0.07620763778686523,0.07081413269042969,52,68,16,68,67,67,0,67,1.0,max,Min Best Case,True,47,68
37,96372106,9,10637332,1,60,0.019388675689697266,0.01655411720275879,42,57,15,57,58,58,0,58,1.0,max,Min Best Case,True,39,55
38,96372106,9,10637333,1,60,2.9879956245422363,0.3647427558898926,60,78,18,78,72,72,0,72,1.0,max,Min Best Case,True,54,81
39,96372106,9,10637334,1,60,0.09465193748474121,0.07276630401611328,58,84,26,84,81,81,0,81,1.0,max,Min Best Case,True,54,84
40,96372106,9,10637335,1,60,0.2322530746459961,0.09337782859802246,53,67,14,67,68,68,0,68,1.0,max,Min Best Case,True,47,69
41,96372106,9,10637336,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,Min Best Case,True,-1,-1
42,96372106,9,10637337,1,60,0.0065805912017822266,0.04022026062011719,44,62,18,62,60,60,0,60,1.0,max,Min Best Case,True,42,65
43,96372106,9,10637338,1,60,5.127559185028076,0.4132981300354004,56,73,17,73,72,72,0,72,1.0,max,Min Best Case,True,52,80
44,96372106,9,10637339,1,60,248.92218828201294,1.1092281341552734,70,93,23,93,92,92,0,92,1.0,max,Min Best Case,True,62,98
45,96372106,9,10637340,1,60,3.1988892555236816,3.965700149536133,54,72,18,72,66,66,0,66,1.0,max,Min Best Case,True,47,63
46,96372106,9,10637341,1,60,0.03406500816345215,0.1717243194580078,51,70,19,70,72,72,0,72,1.0,max,Min Best Case,True,49,71
47,96372106,9,10637342,1,60,0.12258005142211914,0.07492518424987793,59,78,19,78,79,79,0,79,1.0,max,Min Best Case,True,56,83
48,96372106,9,10637343,1,60,0.061350345611572266,0.07142901420593262,49,66,17,66,64,64,0,64,1.0,max,Min Best Case,True,46,65
49,96372106,9,10637344,1,60,0.5715422630310059,0.17707395553588867,58,75,17,75,76,76,0,76,1.0,max,Min Best Case,True,52,75
50,96372106,9,10637345,1,60,22.266218423843384,0.4534323215484619,68,93,25,93,92,92,0,92,1.0,max,Min Best Case,True,65,96
